date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:42	43/43	---M--	200	added ('OK')	text/plain	etag:%226080514a-2b%22	https://bitcoin.org/robots.txt		(from )
15:07:42	22766/22766	---M-Z	200	added ('OK')	text/html	etag:%226080514b-132a%22	https://bitcoin.org/es/	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/es/index.html	(from )
15:07:42	14655/14655	---M--	200	added ('OK')	image/png	etag:%225f41a36d-393f%22	https://bitcoin.org/img/icons/opengraph.png?1619021447	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/img/icons/opengraph5c0f.png	(from https://bitcoin.org/es/)
15:07:42	26711/26711	---M-Z	200	added ('OK')	text/css	etag:%225f41a36c-176d%22	https://bitcoin.org/css/font-awesome-4.4.0/css/font-awesome.min.css	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/css/font-awesome-4.4.0/css/font-awesome.min.css	(from https://bitcoin.org/es/)
15:07:43	122693/122693	---M-Z	200	added ('OK')	text/css	etag:%226080514a-55b6%22	https://bitcoin.org/css/main.css?1619021447	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/css/main5c0f.css	(from https://bitcoin.org/es/)
15:07:43	12070/12070	---M-Z	200	added ('OK')	application/javascript	etag:%22602e9e3f-f94%22	https://bitcoin.org/js/base.js?1619021447	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/js/base5c0f.js	(from https://bitcoin.org/es/)
15:07:43	28438/28438	---M-Z	200	added ('OK')	application/javascript	etag:%22601a9f7e-1e46%22	https://bitcoin.org/js/main.js?1619021447	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/js/main5c0f.js	(from https://bitcoin.org/es/)
15:07:43	95931/95931	---M-Z	200	added ('OK')	application/javascript	etag:%225f41a36d-8174%22	https://bitcoin.org/js/jquery/jquery-1.11.2.min.js	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/js/jquery/jquery-1.11.2.min.js	(from https://bitcoin.org/es/)
15:07:44	240022/240022	---M-Z	200	added ('OK')	application/javascript	etag:%225f41a36d-fa65%22	https://bitcoin.org/js/jquery/jquery-ui.min.js	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/js/jquery/jquery-ui.min.js	(from https://bitcoin.org/es/)
15:07:44	13995/13995	---M-Z	200	added ('OK')	application/javascript	etag:%225f41a36d-12a2%22	https://bitcoin.org/js/jquery/jquery.qrcode.min.js	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/js/jquery/jquery.qrcode.min.js	(from https://bitcoin.org/es/)
15:07:44	1227/1227	---M--	200	added ('OK')	image/png	etag:%225f41a36c-4cb%22	https://bitcoin.org/favicon.png?1619021447	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/favicon5c0f.png	(from https://bitcoin.org/es/)
15:07:44	3132/3132	---M--	200	added ('OK')	image/png	etag:%225f41a36d-c3c%22	https://bitcoin.org/img/icons/logo_ios.png?1619021447	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/img/icons/logo_ios5c0f.png	(from https://bitcoin.org/es/)
15:07:45	9687/9687	---M-Z	200	added ('OK')	application/javascript	etag:%226080514a-c62%22	https://bitcoin.org/js/cookieconsent/cookieconsent.js?1619021447	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/js/cookieconsent/cookieconsent5c0f.js	(from https://bitcoin.org/es/)
15:07:45	436/436	---M-Z	200	added ('OK')	application/javascript	etag:%225f41a36d-14f%22	https://bitcoin.org/js/analytics.js	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/js/analytics.js	(from https://bitcoin.org/es/)
15:07:45	24803/24803	---M-Z	200	added ('OK')	text/html	etag:%226080514b-1518%22	https://bitcoin.org/es/bitcoin-para-personas	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/es/bitcoin-para-personas.html	(from https://bitcoin.org/es/)
15:07:45	25504/25504	---M-Z	200	added ('OK')	text/html	etag:%226080514b-1601%22	https://bitcoin.org/es/bitcoin-para-empresas	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/es/bitcoin-para-empresas.html	(from https://bitcoin.org/es/)
15:07:46	25725/25725	---M-Z	200	added ('OK')	text/html	etag:%226080514b-157c%22	https://bitcoin.org/es/como-empezar	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/es/como-empezar.html	(from https://bitcoin.org/es/)
15:07:46	25885/25885	---M-Z	200	added ('OK')	text/html	etag:%226080514b-16a8%22	https://bitcoin.org/es/como-funciona	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/es/como-funciona.html	(from https://bitcoin.org/es/)
15:07:46	31848/31848	---M-Z	200	added ('OK')	text/html	etag:%226080514b-1636%22	https://bitcoin.org/es/bitcoin-documento	C:/Mis%20lugares%20Web/bitcoin/bitcoin.org/es/bitcoin-documento.html	(from https://bitcoin.org/es/)
